Description,Price,Old Price,Reviews
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Crystal Green (1YR WRTY)","KSh 12,660","KSh 10,000",4.2 out of 5
"XIAOMI Redmi A3 Pro, 6.88"", 4GB RAM + 128GB (Dual SIM), 5160mAh, Navy Blue (2YRS WRTY)","KSh 13,999","KSh 14,280",4 out of 5
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM) 5000mAh, Green ( 2YRs WRTY)",KSh 525,"KSh 10,500",4.7 out of 5
"Bontel 3310, 1.77'' 1000 MAh Battery, FM Radio, Black","KSh 1,457","KSh 1,500",4.1 out of 5
"Tecno Pova 6 Neo 6.78""FHD+, 256GB+8GB RAM, 50MP, 7000mAh-33W Super Charge- Speed Black (1YR WRTY)",KSh 930,"KSh 14,999",4.5 out of 5
"Tecno POP 9 120Hz 6.67"" 128GB ROM+3GB RAM*(+3GB RAM Extended)4.5G Network,5000mAh,  Infrared Remote Control- Black",KSh 651,"KSh 14,280",4.2 out of 5
"XIAOMI A3 Pro, 6.88"", 4GB RAM + 128GB (Dual Sim), 5160mAH,Midnight Black (2YRs WRTY)","KSh 6,220","KSh 10,000",4.3 out of 5
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Shiny Gold (1YR WRTY)",KSh 700,"KSh 19,888",4.1 out of 5
"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 5,300","KSh 35,000",4.4 out of 5
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black",KSh 407,"KSh 19,999",4.5 out of 5
"XIAOMI Redmi A3, 6.71"" Display 4GB RAM + 128GB 5000mAh (Dual SIM) - Black + Free gifts",KSh 450,"KSh 9,000",4.4 out of 5
"VILLAON V20SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim",KSh 446,"KSh 19,999",3.4 out of 5
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black","KSh 2,000","KSh 25,000",4.7 out of 5
XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM NB8,"KSh 3,000","KSh 23,000",3.5 out of 5
"Samsung GALAXY A05,6.7 PLS LCD DISPLAY ,4GB RAM/64GB ROM,ANDROID 13,5000MAH,4G,DUAL,50MP+BEST GIFTS",KSh 699,"KSh 12,000",4.2 out of 5
"Itel A60s, 6.6"", 128GB + 4GB RAM, Dual SIM, 5000mAh, 4G -?Glacier Green (1YR WRTY)","KSh 1,299","KSh 17,000",4.4 out of 5
"XIAOMI Redmi 14C, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Starry Blue (2YRs WRTY)",KSh 850,"KSh 15,000",4.2 out of 5
"Infinix Hot 50i, 6.7"", 128GB + 6GB RAM, 5000 mAh (Dual Sim), Sleek Black  (1YR  WRTY)","KSh 1,790","KSh 29,999",4.3 out of 5
"Samsung GALAXY A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black","KSh 1,499","KSh 15,000",4.2 out of 5
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Sage Green (2 YRs WRTY)","KSh 1,399","KSh 2,500",4.3 out of 5
"Nokia Nokia106 1.77"" Dual SIM- Black","KSh 1,680","KSh 12,000",4.7 out of 5
"XIAOMI Redmi A3x, 6.71"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Green (2 YRs WRTY)","KSh 2,990","KSh 11,999",3.7 out of 5
"Tecno POP 8, 6.6"", 2GB RAM + 64GB, 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 1,000","KSh 17,900",4.4 out of 5
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Neon Gold (1YR WRTY)","KSh 1,800","KSh 30,000",4.1 out of 5
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Magic Skin Blue (1YR WRTY)","KSh 1,599","KSh 1,800",4.5 out of 5
"Poco C75, 6.88"", 256GB + 8GB RAM (Dual SIM), 5160mAh, 4G ? Black (2YRs WRTY)","KSh 2,290","KSh 17,187",4.5 out of 5
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  WW VVT BN,"KSh 1,299","KSh 17,187",4.5 out of 5
"Itel 2163, 1.8""screen  1000mAh, Bright Torch...Wireless FM- Dual Sim//Blue","KSh 1,650","KSh 17,000",4.2 out of 5
"Itel P55 6.6"", 128GB + 6GB, (Dual SIM), 5G, 5000mAh - Galaxy Blue (1YR WRTY)","KSh 7,999","KSh 29,999",4.6 out of 5
"Itel P55 6.6"", 128GB + 6GB, (Dual SIM), 5G, 5000mAh - Galaxy Blue (1YR WRTY)","KSh 11,199","KSh 2,000",4.6 out of 5
"XIAOMI Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh (2 YRs WRTY)","KSh 8,000","KSh 1,500",4.1 out of 5
"Samsung Galaxy A15, 6.5'' Display, 6GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue + Smart watch & Power bank","KSh 29,999","KSh 15,500",4 out of 5
Itel 2160// Dual SIM//Black//quality Watch,"KSh 57,999","KSh 19,999",4.1 out of 5
"Bontel 3310,1.77"" DISPLAY,DUAL SIM,SPLY""","KSh 8,999","KSh 39,999",4.5 out of 5
Refurbished Huawei Psmart+2019 Phone 6.2 Inches FHD+  4GB + 128GB Black,"KSh 12,999","KSh 19,999",3.4 out of 5
"XIAOMI Redmi A3, 6.71"" Display 4GB RAM + 128GB 5000mAh (Dual SIM) - Green","KSh 13,599","KSh 9,000",4 out of 5
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black+ Smartwatch & F9 Earbuds","KSh 13,999","KSh 29,999",4.6 out of 5
"XIAOMI  Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Starry Blue + Free Gifts","KSh 18,999","KSh 25,000",4.4 out of 5
"VILLAON V20SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim ERTU",KSh 699,"KSh 9,000",3.3 out of 5
"Samsung Galaxy A15, 6.5'' Display, 4GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue(2YRs WRTY)","KSh 8,999","KSh 13,000",4.3 out of 5
Infinix HOT 50i Display: 6.7 HD RAM: 6GB (Expandable up to 12GB) ROM: 128GB DUAL SIM  SW I12,"KSh 12,999","KSh 22,100",4.4 out of 5
"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim TYHJ","KSh 11,285","KSh 15,000",3.5 out of 5
"Itel A70, 6.6"", 3GB RAM + 128GB, 4G, (Dual SIM) 5000mAh - Starlish black (1YR WRTY)","KSh 17,999","KSh 20,000",3.9 out of 5
"Itel P55 6.6"", 128GB + 6GB, (Dual SIM), 5G, 5000mAh - Mint Green","KSh 9,200","KSh 30,000",4.3 out of 5
"Poco C75, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Black (2YRs WRTY)","KSh 9,200","KSh 20,999",4.2 out of 5
Realme NOTE 50 6.74 INCHES DISPLAY 4GB RAM+128 GB ROM DUAL SIM 5000 MAH +POWER BANK,"KSh 11,599","KSh 14,999",3.8 out of 5
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  WW VVT,"KSh 8,999","KSh 25,999",4.1 out of 5
"Samsung Galaxy A05s, 6.7"", 128GB + 4GB (Dual SIM), 5000mAh, Black",KSh 990,"KSh 4,000",4.3 out of 5
"Tecno POP 9 120Hz 6.67"" 128GB ROM+3GB RAM*(+3GB RAM Extended) 4.5G Network, 5000mAh, Infrared Remote Control- White","KSh 19,999","KSh 19,999",5 out of 5
"Tecno Spark 20, 6.6'' HD+, 4GB RAM + 128GB, (Dual Sim) 50MP, 5000 mAh - Cyber White","KSh 11,499","KSh 20,999",4.1 out of 5
"Itel Flip 1 Folding Phone - 2.4"" - 1200mAh (Dual SIM), Wireless FM, Blue (1YR WRTY)","KSh 11,599","KSh 39,999",3.7 out of 5
"Realme Note 50 6.74"" 128GB ROM+ 4GB (Expandable to 8GB RAM) 5000mAh (Dual sim) - Blue","KSh 9,200","KSh 4,000",4.1 out of 5
"Samsung Galaxy A05s, 6.7"", 128GB + 4GB (Dual SIM), 5000mAh, Silver","KSh 11,290","KSh 7,000",3.8 out of 5
"Tecno  Camon 30, 6.78"" Display, 256GB ROM + 16GB (8GB + 8GB) RAM 4G (Dual SIM) - 5000mAh+MG SW OTG","KSh 22,389","KSh 34,999",4.3 out of 5
"Tecno T529, screen Size28, LCD Screen, GSM, 008MP, 2500mAh Black","KSh 11,399","KSh 20,000",4.3 out of 5
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Iceberge blue","KSh 4,690","KSh 23,999",3.9 out of 5
"Tecno Camon 30, 6.78"", 256GB + 8GB (8GB RAM Extended) 4G (Dual SIM) - 5000mAh- Balistic Dark + TWS Earpods","KSh 12,999","KSh 14,999",4.5 out of 5
"Tecno Spark 30c, 6.67'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Orbit White","KSh 13,850","KSh 22,999",4.4 out of 5
"XIAOMI Redmi A3x 6.71"" 4GB RAM + 128GB ROM, Android 14 (Dual Sim) 5000mAh - Black + Smart watch & Power bank","KSh 12,690","KSh 15,000",5 out of 5
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Sage Green HDJ","KSh 9,500","KSh 22,999",4.3 out of 5
"XIAOMI  Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Black + Smart Watch & Earpods","KSh 13,740","KSh 20,000",4 out of 5
"Poco C75, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Green (2YRs WRTY)","KSh 13,000","KSh 19,999",4.5 out of 5
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP CAMERA, 5000mAh - Black + Free Gifts","KSh 18,999","KSh 18,000",5 out of 5
"Realme Note 50 6.74"" 256GB ROM+ 4GB (Expandable To 8GB RAM) 5000mAh (Dual Sim) +SW BDS  PB","KSh 12,999","KSh 21,196",3.7 out of 5
"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP, 5000mAh - Black + Free Gifts","KSh 1,849","KSh 20,000",4.5 out of 5
"Infinix  Hot 50i 4G""6.7-inch,12 GB(6+6)RAM+128GB ROM' Battery: 5000mAh, 18W Wired NNN1","KSh 9,999","KSh 40,000",4.2 out of 5
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black","KSh 9,999","KSh 19,999",4.1 out of 5
"Samsung  GALAXY A05,6.7"" INCHES DISPLAY,4GB RAM/128GB ROM,5000MAH,50MP CAMERA,DUAL SIM,+WATCH 2","KSh 15,000","KSh 3,000",4.5 out of 5
"Infinix Note 30 Pro, 256ROM+8GB RAM,6.78"" FHD+ 5000mAh,black","KSh 15,000","KSh 17,499",4.8 out of 5
"XIAOMI Redmi 14C, 6.88"" (256GB Storage+8GB RAM) (Dual Sim) 5160mAh -Midnight Black","KSh 15,320","KSh 15,999",4.3 out of 5
"Tecno T315,DUAL SIM,SPLY""","KSh 17,299","KSh 22,999",4.3 out of 5
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Blue","KSh 1,118","KSh 29,999",4.8 out of 5
"Oppo A3X,  6.67"", 64GB + 4GB RAM, 4G LTE, 45W Flash Charge (Dual SIM) 5,100 MAh- Ocean Blue","KSh 12,200","KSh 35,000",4 out of 5
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 64GB ROM, 50MP, 5000mAh - Black + Free Gifts","KSh 12,200","KSh 22,999",4.2 out of 5
"Samsung GALAXY A15, 6.5'', 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Blue","KSh 15,620","KSh 19,999",4.4 out of 5
"Samsung Galaxy A14, 6.6"", 128GB + 4GB(Dual SIM), 5000 MAh, +CLASSY  GIFTS","KSh 22,398","KSh 3,000",3.8 out of 5
"XIAOMI  Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh - Black + Smart watch + Earpods","KSh 1,480","KSh 30,000",4 out of 5
"Tecno Spark 30 6.78'', 256GB ROM+8GB RAM*(+8GB Extended Ram)_ SONY IMX682 64MP Camera (4G Dual SIM), 5000mAh-Stellar Shadow","KSh 1,000","KSh 17,499",4 out of 5
Nokia 150 Display : 2.4inch QVGA Size : 132 x 50.5 x 15mm Battery :1020mAh,"KSh 7,662","KSh 1,800",4.6 out of 5
"Infinix Hot 40i, 6.78"" , 256GB ROM + 8GB (Up to 16gb)RAM (Dual SIM), 50MP, 5000mAh +BEST GIFTS","KSh 10,850","KSh 23,999",3.9 out of 5
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Black","KSh 22,995","KSh 2,500",4.5 out of 5
"Itel 2160// Dual SIM//Black//""C.E""","KSh 13,699","KSh 10,000",3.7 out of 5
"XIAOMI  Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh - Blue + Free gifts","KSh 4,645","KSh 10,500",4.1 out of 5
Nokia Hmd Latest Model  Phone Original  Kabambe/Katululu,"KSh 19,299","KSh 14,999",3.2 out of 5
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual Sim) 5000mAh, White","KSh 13,790","KSh 10,500",3.4 out of 5
"Oppo Refurbished OPPO F7 6.2 ""FHD+ 4GB+128GB Black","KSh 5,299",KSh 480,4.3 out of 5
"Badili Samsung Galaxy A20 Black, 32GB/3GB,Single Sim, Refurbished + Free 32 GB Memory Card","KSh 9,699","KSh 19,599",5 out of 5
"Oppo Refurbished OPPO F7/A3 6.2 ""FHD+ 4GB+128GB Silver","KSh 11,999","KSh 18,999",3.2 out of 5
H10  T W S Earphone Wireless Headphones,"KSh 13,580","KSh 1,800",4.5 out of 5
"Samsung Galaxy A04e,  6.5"", 3GB RAM + 32GB ROM, 13MP, Dual SIM, Black","KSh 12,299","KSh 12,800",3 out of 5
"Oppo A3X, 6.67"", 128GB + 4GB RAM, 4G LTE, 45W Flash Charge (Dual SIM) 5,100 mAh - Ocean Blue","KSh 17,199","KSh 15,888",3.9 out of 5
"VILLAON V110, 177"" Kabambe, Wireless FM, Camera, Bright Touch, Facebook, 1000mAh (Dual Sim)","KSh 15,999","KSh 5,999",5 out of 5
Oppo Refurbished A83 4GB+ 32GB Smartphone - 4G LTE Dual Card 5.7-inch Display - Face Unlock（Gold）,"KSh 10,999","KSh 19,999",3.5 out of 5
Huawei Refurbished Huawei Psmart+2019 6.2 Inches FHD+  4GB + 128GB Blue,"KSh 14,899","KSh 40,000",3.4 out of 5
"VILLAON V20SE, 5"", 32GB + 4GB RAM (Dual SIM), 3000mAh, Vert menthe","KSh 3,000","KSh 29,999",4.3 out of 5
"Samsung  GALAXY A05,6.7 DISPLAY,4GB RAM+64GB ROM,5000mAh,4G-green+free gifts","KSh 11,490","KSh 13,800",4.2 out of 5
"Samsung GALAXY A15, 6.5'' HD+, 8GB RAM + 256GB ROM, DUAL SIM, 50MP, 5000mAh - Black","KSh 18,699","KSh 18,999",4.2 out of 5
"Samsung Galaxy A15, 6.5''HD+, 6GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh, Blue","KSh 28,499","KSh 15,000",4 out of 5
Oppo A3S Refurbished 64GB + 4GB RAM 6.2-inch Display - Face Unlock (Purple),"KSh 2,550","KSh 29,999",5 out of 5
"Oppo A3X, 6.67"", 128GB + 4GB RAM, 4G LTE, 45W Flash Charge (Dual SIM) 5,100 MAh - Nebula Red","KSh 5,277","KSh 19,999",3.8 out of 5
"Realme Note 50 6.74"" 256GB ROM+4GB RAM(Upto 8GB RAM) 5000mAH 13MP Al Camera Dual sim-Midnight Black","KSh 26,999","KSh 10,000",4.1 out of 5
"Samsung GALAXY A15, 6.5'', 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue + Smart watch & Power Bank","KSh 13,950","KSh 13,999",4.8 out of 5
"Tecno Spark 30 6.78'', 128GB ROM+8GB RAM*(+8GB Extended Ram)_ SONY IMX682 64MP Camera (4G Dual SIM), 5000mAh-Stellar Shadow","KSh 11,999","KSh 25,999",4.3 out of 5
"Itel A18S 5.5"", 32GB+4GB RAM/Black /BL","KSh 12,999","KSh 15,000",4.3 out of 5
"Realme C30s, 6.5"", 64GB ROM + 3GB RAM, 8MP (Dual SIM) 5000mAh - Blue + Free Gifts","KSh 13,860","KSh 19,000",4.1 out of 5
"Samsung Galaxy A14, 6.6"", 128GB + 4GB, 50MP, Dual SIM, 5000mAh, Black","KSh 13,580","KSh 30,999",4 out of 5
"Itel P65 128GB + 4GB (Extended UPTO 8GB) RAM, 6.7"", 500mAh, Cyber Black","KSh 13,699","KSh 2,200",4 out of 5
"XIAOMI Redmi 13 6.79'' 6GB+128GB Dual SIM, 4G, 5030 MAh - Midnight Black (2YRS WRTY)","KSh 13,699","KSh 18,999",4 out of 5
"Samsung Galaxy A15, 6.5"", 128GB + 6GB RAM (Dual SIM), 5000mAh, light Blue + Adapter & Silicone Cover","KSh 11,699","KSh 2,500",4.4 out of 5
"Tecno T301; (Dual Sim) Memory Card Slot, black","KSh 13,750","KSh 11,000",4.6 out of 5
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh","KSh 11,220","KSh 24,999",4 out of 5
"Nokia Nokia105 1.77"" Dual SIM- Black","KSh 15,599","KSh 7,999",3.5 out of 5
"Itel A18S 5.5"", 32GB+4GB RAM (2+2GB),Fingeprint-BL","KSh 24,999","KSh 30,000",3.5 out of 5
"Tecno CAMON 30S_ 6.78"" FHD+AMOLED 120Hz_ 128GB ROM+6GB RAM (+6GB Extended RAM) (4G Dual Sim), 5000mAh- Celestial Black","KSh 16,299","KSh 15,500",3.9 out of 5
"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue","KSh 1,920","KSh 29,999",4.9 out of 5
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  SW BD PB,"KSh 13,199","KSh 20,000",5 out of 5
Refurbished Huawei Psmart+2019 Phone 6.2 Inches FHD+  4GB + 128GB Blue,"KSh 13,192","KSh 22,000",4.8 out of 5
"Samsung GALAXY A15, 6.5'' HD+, 6GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue black","KSh 16,499","KSh 40,000",3.3 out of 5
"Oppo  A3x 6.67 inches, 64GB ROM + 4GB RAM, Battery: 5100mAh (Dual SIM) 50MP -SW PB I12","KSh 19,399","KSh 20,899",4.7 out of 5
"Samsung GALAXY A15,6.5 SUPER-AMOLED,50MP(128GB ROM+4GB RAM) & CLASSY FREEBIES","KSh 17,899","KSh 19,999",3.9 out of 5
"Samsung GALAXY A15, 6.5'' HD+, 8GB RAM + 256GB ROM, DUAL SIM, 50MP, 5000mAh - Blue + FREEBIES","KSh 17,199","KSh 69,999",4.2 out of 5
"Samsung Galaxy A05s, 6.7""DISPLAY,4G, 128GB ROM+ 4GB RAM -(Dual SIM), 5000mAh- SILVER+ FREE GIFTS","KSh 19,499","KSh 17,999",4.6 out of 5
"Infinix  Smart 8, 6.6"" HD Display, 4GB RAM Expandable Up to 6GB + 64GB ROM, Android 13 (Dual sim) 5000mAh - Green","KSh 2,400","KSh 29,999",5 out of 5
"Samsung Galaxy A55 5G , 6.6"", 256GB ROM + 8GB RAM (Dual SIM), 5000mAh - Black + FREEBIES","KSh 17,379","KSh 17,380",4.1 out of 5
"Nokia C32, 6.2"", 64GB + 4GB RAM (Dual SIM), 5050MAh, Charcoal Grey (1YR WRTY)","KSh 13,199","KSh 29,999",3.9 out of 5
"Infinix Hot 40i, 6.78"" , 256GB ROM + 8GB (Up to 16gb)RAM  (Dual SIM), 50MP, 5000mAh - Starlit  Black","KSh 1,330","KSh 19,000",4 out of 5
"Nokia 4G Dual SIM Phone with 1.77"" Display and Wireless FM Radio","KSh 16,899","KSh 39,999",3.1 out of 5
X Tigi Bison1-4G Lte-Octa Core-6GB Ram-128Gb -20Mp/20+8+2Mp-Black&Green,"KSh 2,000","KSh 10,999",4 out of 5
"XIAOMI  Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh - Sage Green","KSh 9,200","KSh 19,999",3.4 out of 5
"Realme NOTE 50 6.74 Display,4GB RAM +128GB ROM DUAL SIM 5000 MAH +PB I12 SW","KSh 7,422","KSh 27,000",4 out of 5
"Blackview Wave 6C, 6.5"", 2GB RAM + 32GB (Dual SIM), 8MP Camera, 5100mAh Battery - 4G, Black.","KSh 7,999","KSh 3,500",4.1 out of 5
"Samsung Galaxy A25 5G, 6.5'' 6GB RAM + 128GB ROM, 50MP  (Dual Sim)- Brave Black + Smart Watch & Power Bank","KSh 7,200","KSh 18,000",4.3 out of 5
"Infinix Smart 8, 6.6"" HD Display, 64GB storage+3GB RAM(Expandableupto Android 13 (Dual sim) 5000mAh - Gold",KSh 345,"KSh 7,000",5 out of 5
"Tecno Spark 30c, 6.67'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Orbit Black","KSh 9,998","KSh 5,000",4.3 out of 5
"Tecno  SPARK 20 Pro, 6.78""DISPLAY, 256GB + 8GB RAM (Expandable UPTO 16GB), Dual SIM, 5000mAh, CYBER WHITE+FREE GIFTS","KSh 16,350","KSh 22,999",4.1 out of 5
Bontel T1000//Wireless Desktop Telephone//SMS Feature Phone (Dual Sim)BLACK,KSh 979,"KSh 17,999",4 out of 5
"Itel A70,6.66 Display Upto 8GB RAM + 128GB ROM 8MP 5000mAh,","KSh 6,882","KSh 25,000",4.1 out of 5
"VILLAON V20SE,5.0"" SCREEN SIZE,3000MAH BATTERY,(32GB+4GB*)DUAL SIM,SPLY""","KSh 8,200","KSh 2,900",3.6 out of 5
"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim..","KSh 4,599","KSh 3,000",4.5 out of 5
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP, 5000mAh, Black +FREEBIES","KSh 11,298","KSh 39,999",4.3 out of 5
"Infinix Hot 50i 4G""6.7-inch,12 GB(6+6)RAM+128GB ROM' Battery: 5000mAh","KSh 33,399","KSh 19,999",4.6 out of 5
Infinix HOT 50i Display: 6.7 HD RAM: 6GB (Expandable up to 12GB) ROM: 128GB DUAL SIM  WW2,"KSh 21,598","KSh 1,000",4.2 out of 5
"Tecno T402( Triple SIM Cards),1.77"" Display,mem Card Slot Up To 32GB,FM Radio //BLACK","KSh 7,500","KSh 23,000",4.6 out of 5
"Tecno T301 2/Dual Sim,Button/KABAMBE/KATULULU/MULIKA MWIZI","KSh 15,860","KSh 2,500",3.7 out of 5
"Oppo A38, 6.56"" Display, 6GB RAM + 128GB ROM, 50MP, 4G LTE, 5000mAh -Glowing Black","KSh 12,789","KSh 5,000",3.4 out of 5
"Tecno POP 8 6.6"" Display - 3GB RAM + 64 ROM - Dual Speaker - (Dual sim) 5000mAh - Gravity Black + Free Gifts","KSh 19,999","KSh 29,999",5 out of 5
Samsung  Fast Charger 25W USB C- type c to c Wall Charger Super Fast Type C Adapter Android Phone Charger for Galaxy A15 5G A14 A13 A53 A54 A55 A03s A04s A05s A12 A52 S24 S23 S22 S21 S20 S10 Z Flip 5 Z Fold 5,"KSh 16,999","KSh 1,000",4.2 out of 5
"Samsung GALAXY A05,6.7 PLS LCD DISPLAY ,4GB RAM/64GB ROM,ANDROID 13,5000MAH,4G,DUAL,50MP+CV BT WTC","KSh 6,599","KSh 17,999",3.6 out of 5
"Bontel Honey 1.54""// Color Display Flip Phone//c,e","KSh 9,699","KSh 3,200",4.2 out of 5
"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim..","KSh 16,799","KSh 40,000",4 out of 5
"Samsung Galaxy A15, 6.5'' Display, 6GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue","KSh 12,660","KSh 20,000",3.4 out of 5
"Nokia 4G Dual SIM Phone with 1.77"" Display and Wireless FM Radio","KSh 16,999","KSh 2,500",4.1 out of 5
Samsung  Fast Charger 25W USB C- type c to c Wall Charger Super Fast Type C Adapter Android Phone Charger for Galaxy A15 5G A14 A13 A53 A54 A55 A03s A04s A05s A12 A52 S24 S23 S22 S21 S20 S10 Z Flip 5 Z Fold 5,"KSh 23,599","KSh 22,999",4.2 out of 5
"Nokia C32, 6.2"", 64GB + 4GB RAM (Dual SIM), 5050MAh, Charcoal Grey (1YR WRTY)","KSh 1,580","KSh 9,999",3.8 out of 5
"Bontel 2720 1.77"" DISP// Flip Phone. MP3,MP4,FM , Flash Torch 1000mAh,","KSh 10,895","KSh 22,999",5 out of 5
"Tecno  Camon 30, 6.78"" Display, 256GB ROM + 16GB (8GB + 8GB) RAM 4G (Dual SIM) - 5000mAh+S WATCH POWER BANK","KSh 1,849","KSh 13,000",4.2 out of 5
