microwaves_name,microwaves_reviews,microwaves_price
Von Mechanical control Glass front panel VAMS20MGX Microwave Oven Solo 8 power levels Grey interior cavity Normal cooking programs power time setting,(21),"KSh 11,799"
Hisense Microwave Oven H20MOBS11 700W 20L Digital MicrowaveBLACK,(0),"KSh 9,990"
Haier HMW20DBM Digital Microwave Oven 700W 20L,(0),"KSh 13,999"
KENYAN LOVEDINSPIRED LIVINGHaier HMW20DBM Digital Microwave Oven 700W 20L BlackStylish Silver stainless steel finish Compact size 20L Capacity 700 Watts 10 Power Levels Clock,(0),"KSh 16,910"
Nunix Digital Microwave Oven 20L Without GRILL,(0),"KSh 9,999"
Nunix 20L Electric Oven Grill 3 Knobs Electric Rotisserie Oven Input Power 1280W Voltage 220V50Hz Operating Frequency 2450MHz 6 Microwave Power Level White cavity,(0),"KSh 6,100"
Icona ILM02025XW 20L Microwave Oven 30min Timer 1 YEAR WARRANTY,(0),"KSh 7,889"
2M214 Microwave Oven Magnetron 2M214 161GP 2B71165R,(0),"KSh 2,999"
Nunix Digital Microwave Oven 20L GRILL,(0),"KSh 10,999"
Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,799"
HANMAC MICROWAVE DIGITALGRILL 20 Litres Digital control grill function Grill power 1000watts 95Cooking TImer Multi stage cooking 5 Power levels Defrost function Speedy cooking Cooking completi,(0),"KSh 12,000"
Synix Manual Microwave 20L Model MW72005M KSh Techinical Specifications Power Levels 5 Power 700W Capacity 20L Rated Voltage 220230V Weight 75kg Warranty 13 Months,(0),"KSh 8,666"
Nunix Digital Microwave Oven 20L,(0),"KSh 9,999"
Ramtons RM328 20L Manual Microwave,(9),"KSh 10,599"
Electric oven 20L Electric Rotisserie microwave Oven,(0),"KSh 6,996"
Roch Digital Mirowave oven 20L Black RMW20PX7H Live smarter ROCH microwave OVEN High,(0),"KSh 10,999"
Ramtons RM458 Digital Glass Microwave 700W 20L Black Silver,(0),"KSh 13,999"
Hisense Microwave Oven H20MOMS11 700W 20L Digital MicrowaveBLACK,(0),"KSh 9,890"
OFFERVON HMG202DBVAMG20DGB Grill Microwave 20L Black Red1 YEAR WARRANTY,(0),"KSh 12,999"
Hisense 20L Digital Microwave OvenBLACK2YEARS WARRANTY,(0),"KSh 9,890"
Hisense Microwave Oven H20MOMS11 700W 20L Digital MicrowaveWhite,(0),"KSh 8,899"
OFFERVON HMG202DBVAMG20DGB DIGITAL MICROWAVE OVEN GRILL 20L Black Red1 YEAR WARRANTY,(0),"KSh 12,999"
Nunix Microwave Oven 20L GRILL White,(0),"KSh 12,000"
Mika MMWMSKH2012B Microwave 20L Manual Black1 YEAR WARRANTY,(0),"KSh 10,999"
SYNIX Digital 20 L microwaveGRIll DIGITAL PANEL Our microwave features a Digital Control Panel that makes it really easy to use provides choices for express cooking altering power lev,(0),"KSh 12,099"
SALEHisense 20L Digital Microwave Black 2 Years Warranty,(0),"KSh 9,899"
Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave2YRS WARRANTY,(0),"KSh 8,990"
Nunix 20L Electric Oven Grill 3 Knobs Electric Rotisserie Oven Input Power 1280W Voltage 220V50Hz Operating Frequency 2450MHz 6 Microwave Power Level White cavity Capacity 20L WHATS IN T,(0),"KSh 6,600"
Ramtons 23 Litres MicrowaveGrill Black 1YR WRTY,(0),"KSh 15,999"
VON VAMS20DGX Microwave Oven Solo 20L Digital Black1 YEAR WARRANTY,(0),"KSh 10,999"
SALEHisense DIGITAL Microwave Oven H20MOBS11 700W 20LBLACK,(0),"KSh 9,900"
Hisense Digital 20L Microwave Oven H20MOMWS11WHITE2YRS WARRANTY,(0),"KSh 8,990"
Mika 20L Digital Microwave Grill Silver2 YEARS WARRANTY,(0),"KSh 10,999"
SALEMika 20L Digital Microwave Plus GrillSILVER,(0),"KSh 10,899"
COOKING MADE EASIERICONA Microwave Oven 20L Manual Setting ILMO2025XWConvection cooking function for evenly cooked food levels for precise cooking Defrost reheat cook presets for,(0),"KSh 13,300"
Smart Pro 20L Digital Microwave Oven SMV20LV21 YEAR WARRANTY,(0),"KSh 9,999"
Mika 20L Digital Microwave Grill Silver,(0),"KSh 10,999"
Mika 20L Digital Microwave Grill Silver,(0),"KSh 10,999"
Mika Digital Microwave 20L 700W Grill 1 Year Warranty,(0),"KSh 10,899"
SALEHisense 20L Digital Microwave 2 Years Warranty,(0),"KSh 9,998"
Hisense Microwave Oven H20MOMS11 700W 20L Digital MicrowaveWhite,(0),"KSh 8,990"
Mika 20L Digital Microwave Grill Silver2 YRS WARRANTY,(0),"KSh 10,999"
MICROWAVE Ramtons Microwave Digital 20Litres Grill RM310Digital control Grill Function Multi cooking stage 5 Power Levels Speed Cooking,(0),"KSh 12,600"
Ramtons RM458 Digital Glass Microwave 700W 20L Black Silver,(0),"KSh 13,800"
Nunix Microwave Oven Grill White 20L,(0),"KSh 9,785"
Smart Pro 20L Digital Microwave Oven SMV20LV2 Black,(0),"KSh 9,990"
Mika 20L Digital Microwave Grill Silver,(0),"KSh 14,500"
VON VAMS20MGX Manual Microwave Oven Solo 20L Black 1YR WRTY,(0),"KSh 11,999"
Hisense Microwave Oven 700W 20L Digital MicrowaveBLACK,(0),"KSh 9,990"
HANMAC 20 L MANUAL MICROWAVE 5 Power Levels MultiStage Cooking Defrost Function Speedy Cooking,(0),"KSh 8,640"
Hisense 20L Digital Microwave WHITE2 YEARS WARRANTY,(0),"KSh 14,500"
Synix 700w 20L Microwave OvenManual Mechanical knob control Without grill function Matte black design 5 microwave power levels Defrost function Door safety lock Cooking end signal,(0),"KSh 9,400"
Hisense H20MOBS11 20L Digital Microwave Oven Black 2YEARS WARRANTY,(0),"KSh 9,990"
Hisense H20MOMS11 20L Digital Microwave Oven SILVER2YRS WARRANTY,(0),"KSh 10,399"
Silver Black hisense Digital Microwave,(0),"KSh 10,699"
Hanmac 20L Manual Black Microwave Hanmac 20L Manual Black Microwave is perfect addition to for quick easy cooking Offering a classic design manual control micro,(0),"KSh 10,268"
LUXURY FOR LESS MICROWAVE Ramtons RM458 Digital Glass Microwave 700W 20L5 microwave power levels 95 minutes digital timer Defrost by weighttime Cooking end signal 8 auto menus,(0),"KSh 12,150"
Ramtons Digital Glass Microwave 700W 20L Black Silver,(0),"KSh 11,499"
20 L HANMAC HMR20E2 EXTRA LARGE MICROWAVE OVEN Customize cooking 5 different power settings to perfectly cook a variety of dishes35Minute Digital Timer Precisely time meals,(0),"KSh 10,800"
SYINIX 20 L MICROWAVE OVEN Compact Digital Panel Convenient 800 watts of power 10 power levels 6 1touch cooking menus to help you prepare a wide range of foods efficiently,(0),"KSh 8,505"
HANMAC 20L Manual Microwave Turntable Glass PushButton Door Timer HMR20M,(0),"KSh 8,299"
Nunix 20L Electric Oven Grill 3 Knobs Electric Rotisserie Oven Input Power 1280W Voltage 220V50Hz Operating Frequency 2450MHz 6 Microwave Power Level,(0),"KSh 6,300"
Hisense Microwave Oven H20MOMS11 700W 20L Digital MicrowaveWhite,(0),"KSh 12,999"
20 L HANMAC DIGITAL MICROWAVE OVEN Speed Defrost Digital control Grill Function 5 Power Levels Cooking End Signal,(0),"KSh 9,990"
Nunix 20L Electric Oven Grill 3 Knobs Electric Rotisserie Oven Input Power 1280W Voltage 220V50Hz Operating Frequency 2450MHz 6 Microwave Power Level White,(0),"KSh 6,633"
Silver Mika Microwave Oven Grill Efficient Powerful Silver Mika Microwave Oven Grill everything you need for quick delicious meals its 700W output gr,(0),"KSh 14,000"
20L Smart Pro Digital Black Microwave 20L Smart Pro Digital Black Microwave advanced digital control sleek design bringing modern convenience to its userfriendly,(0),"KSh 11,220"
Nunix 20 Litres Manual Setting Microwave Oven Intuitive cooking settings a smart sensor automatically adjust power time removing complexity from daily cooking There are six differ,(0),"KSh 9,292"
Smart Pro Microwave Oven 20L Digital Black SMV20LV4 21YR WRTY,(0),"KSh 9,999"
20 L HANMAC MANUAL MICROWAVE OVEN 5 Power Levels MultiStage CookingDefrost Function Speedy Cooking Cooking Completion Signal Glass Turntable,(0),"KSh 8,640"
Hisense H36MOMMI 36L Microwave,(2),"KSh 22,999"
Hisense 20L Digital Microwave Oven H20MOMWS11 SILVER,(0),"KSh 10,399"
Nunix 20L Electric Oven Grill 3 KnobsElectric Rotisserie Oven Input Power 1280W Voltage 220V50Hz Operating Frequency 2450MHz 6 Microwave Power Level White cavity Capacity,(0),"KSh 6,670"
50 OFFHisense 20Litres Digital Microwave WhiteMembrane digital control Blue LED display 11 microwave power levels 6 auto cooking menus 9999mins cooking timer 24,(0),"KSh 11,200"
MICROWAVE Ramtons Microwave Digital 20Litres Grill RM310 Easytoclean cavity grill rack included Child lock doorsafety mechanisms Multiple preset cooking functions,(0),"KSh 13,500"
Ramtoms microwave 20 ltrs,(0),"KSh 11,200"
Ramtoms microwave 20 ltrs,(0),"KSh 10,999"
VON VAMS20DGX Microwave Oven Solo 20L Digital Black 1YR WRTY,(0),"KSh 14,995"
Hisense 20L Digital Microwave Oven H20MOMWS11 White,(0),"KSh 9,500"
HANMAC 20L Digital Microwave Multiple Power Levels Speed Defrost Child Lock HMR20E,(0),"KSh 10,148"
HANMAC 20L Manual Microwave Turntable Glass PushButton Door Timer HMR20M,(0),"KSh 9,912"
ROCH DIGITAL MICROWAVE Defrost functionCooking End Signal650700W microwave power,(0),"KSh 9,794"
Smart Pro Microwave Oven 20L Digital Black SMV20LV21YR WRTY,(0),"KSh 9,999"
Digital microwave microwave features a Digital Control Panel that makes it really easy to use provides choices for express cooking altering power level postponing start setting tim,(0),"KSh 11,600"
Synix 20L Microwave oven,(0),"KSh 10,199"
VON 20L ANALOG MICROWAVE,(0),"KSh 11,000"
VON HMS202DBVAMS20DGB 20 L DIGITAL SOLO MICROWAVE Black Red Digital control panel Adjustable power levels 7 auto cook menus Weight defrost Memory cooking In built clock Child Lock,(0),"KSh 12,825"
From KILLIMALL Ramtons 20Litres Digital Microwave RM 458 Silver Glass,(0),"KSh 17,200"
20 L HANMAC HMR20M2 Manual Microwave Oven Defrost Function 5 Power Levels Digital Timer Defrost Function Speedy Cooking Cooking Completion Signal 255mm Glass Turntable,(0),"KSh 9,450"
Premier Digital 20L Multipurpose Microwave,(0),"KSh 11,000"
Mika 20L Digital Microwave Grill Silver2YRS WARRANTY,(0),"KSh 12,699"
offerSyinix 20 litres microwave oven6 Auto Cooking Settings ChildLock Technology Essentials for Countertop Dorm Room or Apartment Stainless Steel,(0),"KSh 8,496"
Digital microwave RochCountertop Microwave Oven 09 Cu Ft 106 Inch Removable Turntable 900W 6 Auto Menus Mute Function ECO Mode Child Lock LED Lighting Stainless Steel,(0),"KSh 9,853"
Nunix Digital Microwave Oven 20L GRILL,(0),"KSh 10,999"
Roch 20 litres Digital Microwave,(0),"KSh 12,500"
HOME a RAMTONS MICROWAVE For every household andkitchen need Glass turntable Cooking end signal Pull handle door Speedy cooking Defrost by weighttime,(0),"KSh 12,200"
NUNIX C20PG1 20 L DIGITAL MICROWAVE OVEN Features a Digital Control Panel that makes it really easy to use provides choices for express cooking altering power level,(0),"KSh 10,530"
Nunix C20PG 20L Digital Microwave Oven Grill Silver Intuitive cooking settings a smart sensor automatically adjust power time removing complexity from daily cooking,(0),"KSh 11,745"
20 L HANMAC HMR20EG3 DIGITAL PLUS MICROWAVE OVEN GRILL FUNCTION Speed Defrost95TimerDigital control Grill Function Multi cooking stage 5 Power Levels Speed CookingChild Safety Lock,(0),"KSh 12,276"
20 L HANMAC HMR20EG DIGITAL MICROWAVE OVEN Speed Defrost 95Timer Digital control Grill Function Multi cooking stage 5 Power Levels,(0),"KSh 11,340"
HANMAC 20L Digital Microwave Grill Function Speed Defrost 95Timer Digital control Grill Function Multi cooking stage,(0),"KSh 12,555"
Redberry 20L Microwave Oven Defrost Function Digital Control Push Button Door Cooking End Signal 700W,(0),"KSh 8,999"
dealSilver Black hisense Digital Microwave 11 power levels Defrost by weight function Microwave output power of 700 watts 9999 minute cooking timer Push button door Silver color s,(0),"KSh 12,121"
ROCH 20 L DIGITAL MICROWAVE OVEN 11 Microwave power levels Defrost function Cooking End Signal 650 700W microwave power,(0),"KSh 9,855"
NUNIX 40 L ELECTRIC ROTISSERIE OVEN Microwave Input Power 1600W Voltage 220V50Hz Operating Frequency 50MHz 60M Timer bell ringGrill,(0),"KSh 8,910"
ROCH 20 L DIGITAL MICROWAVE 11 Microwave power levels Defrost function Cooking End Signal 650700W microwave power 99 minutes 99 seconds timer,(0),"KSh 9,855"
Nunix 20L Digital Microwave Grill,(0),"KSh 9,999"
MIKA Microwave Oven 20L Grill Digital Control Panel Mirror Finish,(0),"KSh 15,327"
Smart Pro 20L Digital Microwave Oven SMV20LV4 2 Black 20L Digital Microwave Oven Digital Control Express Cooking Auto Cook Menus Cooking End Signal Defrost Function Child Lock,(0),"KSh 9,720"
Nunix 20L Manual Setting Microwave Oven Power levels Preprogrammed settings Child safety lock Keep warm function,(0),"KSh 9,315"
VON Microwave Oven Solo 20L Mechanical VAMS20MGW,(0),"KSh 13,499"
SYNIX Digital 20L Microwave Oven Grill 700W,(0),"KSh 10,199"
Digital Microwave Grill Silver 20L,(0),"KSh 12,499"
ASSURANCE Mika Digital Microwave Grill 0Grill Function 1000W Total Power Output 700W Digital Control Display 11 Power Levels 9 Auto Cooking Menus MultiStage Cooking,(0),"KSh 14,141"
Black silver hisense Digital Microwave20 Litres Hisense digital microwave grill,(0),"KSh 11,500"
HANMAC HMR20EG 20l Digital Microwave Oven Grill Function Speed Defrost Cooking End SignalSimplify meal preparation 9 preset menus for popular foods popcorn pizza vegetables,(0),"KSh 11,340"
HANMAC 20L Digital Microwave Multiple Power Levels Speed Defrost Child Lock HMR20E,(0),"KSh 9,299"
BLACK Mika Microwave Oven Grill MMWDGPB2074MR,(0),"KSh 17,000"
ICONA Microwave oven 25L Manual Setting ILMO2550XW,(0),"KSh 10,799"
Roch 20Ltrs Digital Microwave Oven High Microwaves Warranty RMW20PX7HB,(0),"KSh 9,998"
Nunix manual microwave 20l,(0),"KSh 9,999"
Nunix 20L Digital Microwave Oven Grill C20PG Silver,(0),"KSh 11,610"
ICONA 20 Ltrs Digital Microwave Oven Cooking End Signal Defrost Setting 99 Minutes Timer,(0),"KSh 10,665"
20 litres Smart pro digital black microwave Countertop Microwave Ovens 12 Cu Ft 124 Removable Turntable Smart Humidity Sensor 12 Auto Menus Mute Function ECO Mode Easy Clean Interior Black Color,(0),"KSh 10,800"
Hisense 20L Digital Microwave Oven 20 Liters Microwave,(0),"KSh 10,999"
VON vamg20dgb 20l microwave,(0),"KSh 13,400"
Nunix Digital Microwave Oven 20L GRILL,(0),"KSh 10,999"
MS2032GAS Neochef Microwave Oven 20L Black,(0),"KSh 23,899"
Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,699"
Nunix Digital Microwave Oven 20L GRILL,(0),"KSh 10,999"
HANMAC Microwave 20L Digital Grill Function HMR20EG3,(0),"KSh 12,154"
Haier HMW20DBM Digital Microwave Oven 700W 20L,(0),"KSh 13,999"
VON HMS202DBVAMS20DGB 20 L DIGITAL MICROWAVE OVEN Digital control Touch control panel Memory cooking a combination of different programs Multistage cooking 7 auto cook menus 700W,(0),"KSh 10,800"
HISENSE 20 L DIGITAL MICROWAVE OVEN 11 microwave power levels 6 auto cooking menus 9999mins cooking timer 24H clock setting Time Weight defrost function,(0),"KSh 9,990"
Nunix C20PG 20L Digital Microwave Oven Grill Silver,(0),"KSh 11,475"
VON VAMS20DGB 20L 700Watts Microwave Oven,(0),"KSh 11,999"
Ramtons RM319 Digital Microwave,(0),"KSh 10,599"
ICONA Microwave oven 25L Digital Setting ILDMO2565XB,(0),"KSh 12,499"
DEALS 20 litres Roch digital microwave ovenDont waste a lot of time trying to lit stove to just warm up food to steaming hot Get yourself a life saving time saving appliance,(0),"KSh 9,888"
Mika 20L Digital Microwave Grill,(0),"KSh 11,999"
20L Hisense digital microwaves SILVER 2 years Warranty,(0),"KSh 11,080"
Microwave 20L Manual Black,(0),"KSh 12,999"
C20UG 20 L Nunix Digital Microwave Grill,(0),"KSh 11,610"
Hisense Digital Microwave oven,(0),"KSh 12,549"
ICONA Microwave oven 20L Digital Setting ILDMO2035XB,(0),"KSh 9,799"
ROCH High 20 Litres Microwave Oven Grill 20L microwave 99 min timer Digital control Grill Defrost setting 1200900 watts 9 power levels,(0),"KSh 9,888"
HANMAC 20L Digital Microwave Multiple Power Levels Speed Defrost Child Lock HMR20E,(0),"KSh 9,499"
HANMAC HMR20EG2 20L Digital Microwave Grill function 95 Cooking Timer Multi stage cooking 5 power levels Defrost function Cooking completion signal Glass turntable,(0),"KSh 12,015"
Roch Digital 20 lts microwave 35 minutes timer means maximum time to set is 35 minutesBEST HIGLY RECOMMENDED,(0),"KSh 10,738"
20L Digital Solo Microwave Oven,(0),"KSh 12,499"
ICONA Microwave oven 20L Manual Setting ILMO2015XW,(0),"KSh 8,799"
Promotions 20LMANUAL MICROWAVE SOLO,(0),"KSh 7,999"
SYNIX 20 L MICROWAVE OVEN,(0),"KSh 9,500"
Ramtons RM458 Digital Glass Microwave 700W 20L,(0),"KSh 12,999"
Hisense 20L Digital Microwave Oven 20 Liters Microwave,(0),"KSh 10,999"
Nunix Digital Microwave Oven 20L GRILL DIGITAL PANEL Our microwave features a Digital Control Panel that makes it really easy to use provides choices for express cooking altering power,(0),"KSh 12,325"
Icona London 20L Manual Setting Microwave Oven,(0),"KSh 9,180"
Hisense White 20L Digital Microwave,(0),"KSh 10,199"
VON HMG202DBVAMG20DGB Grill Microwave 20L,(0),"KSh 11,999"
Ramtons RM458 Digital Glass Microwave 700W 20L 5 microwave power levels 95 minutes digital timer Defrost by weighttime Cooking end signal 8 auto menus Glass turntable,(0),"KSh 12,150"
Ramtons RM320 Digital Microwave 700W 20L,(0),"KSh 12,999"
Mika Digital Microwave 20L 700W Grill,(0),"KSh 12,299"
20 L Ramtons RM319 Digital Microwave Grey Microwave power output 700W 11 microwave power levels 99 minutes digital timer Defrost by weighttimeSpeedy cooking,(0),"KSh 13,500"
Hisense 20L Digital Microwave Oven 20 Liters Microwave Automatic Cooking,(0),"KSh 15,000"
Hisense Digital 20L Microwave Oven H20MOMWS11,(0),"KSh 9,799"
Smart Pro 20L Digital Microwave Oven SMV20LV4 2,(0),"KSh 8,999"
20 L synix digital microwave silver,(0),"KSh 9,998"
Nunix Digital Microwave Oven 20L,(0),"KSh 9,999"
Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave,(0),"KSh 9,999"
TORNADO TM25S Microwave Solo 25 Liter 900 Watt fan Silver 1 Year Warranty,(0),"KSh 16,111"
Ramtons Microwave Digital 20Litres Grill RM310,(0),"KSh 15,789"
hot dealHisense 25 litres microwave oven 25L Capacity Grill Microwave Oven Membrane Digital Control 11 Power Levels Grey Cavity Memory Function Timer 288cm Turntable for Large Dinner Plat,(0),"KSh 17,555"
ICONA Microwave oven 20L Manual Setting ILMO2015XW,(0),"KSh 8,499"
ICONA Microwave oven 20L Digital Setting ILDMO2035XB,(0),"KSh 9,999"
Mika MMWMSKH2012B Microwave 20L Manual,(0),"KSh 9,999"
Hisense 20L Digital Microwave Efficient Stylish Cooking Appliance White,(0),"KSh 10,599"
Hisense H20MOBS11 20L Digital Microwave Oven,(0),"KSh 10,999"
Hisense Microwave Oven H20MOWS11 700W 20L Digital Microwave,(0),"KSh 9,499"
Hanmac Microwave 20L Digital Multiple Power Levels Speed Defrost Child Lock,(0),"KSh 10,979"
Smart Pro SMV20LV4 2 20L Digital Microwave Oven Digital Control Express Cooking Auto Cook Menus Cooking End Signal Defrost Function,(0),"KSh 9,450"
Redberry 20L Energy Efficient Digital Function Microwave700w,(0),"KSh 8,989"
HANMAC DIGITAL MICROWAVE GRILL,(0),"KSh 13,749"
Ramtons RM458 Digital Glass Microwave 700W 20L,(0),"KSh 12,999"
Smart Pro 20L Digital Microwave Oven SMV20LV4 Black,(0),"KSh 9,855"
Hanmac HMR20M2 20 l Manual Microwave Defrost Function 5 Power Levels Digital Timer Defrost Function Speedy Cooking Cooking Completion Signal 255mm Glass Turntable,(0),"KSh 9,450"
Mika 20L Digital Microwave Grill,(0),"KSh 11,999"
Nunix Microwave Oven 20L,(0),"KSh 8,999"
hIGHLY RECOMMEDED Roch 20 Liters Digital Microwave,(0),"KSh 10,283"
NUNIX 20 L C20UG MICROWAVE OVEN GRILL,(0),"KSh 11,610"
NUNIX 20L Digital Microwave Grill C20UG,(0),"KSh 10,440"
Mika 20L Digital Microwave Grill Silver,(0),"KSh 12,825"
Roch RMW20PX7PB B Microwave Oven 700W 20L,(0),"KSh 11,000"
Ramtons RM320 Digital Microwave 700W 20L,(0),"KSh 12,999"
HANMAC digital microwave grill HMR20EG,(0),"KSh 11,340"
Roch RMW20PX7HBB 20L Digital Microwave,(7),"KSh 9,499"
Hisense 20L Digital Microwave Oven 20 Liters Microwave,(0),"KSh 10,999"
NUNIX 20L Digital Microwave Grill C20PG,(0),"KSh 10,440"
Nunix Digital Microwave Oven 20L GRILL,(0),"KSh 10,999"
Hisense 20L Digital Microwave Oven,(0),"KSh 10,530"
NUNIX 20L Digital Microwave C20PG1 Black,(0),"KSh 10,200"
Mika 20L Digital Microwave Grill Silver,(0),"KSh 12,825"
MICROWAVE OVEN Smart Pro 20L Digital Microwave Oven,(0),"KSh 10,530"
Nunix Microwave Oven 20L,(0),"KSh 8,999"
Hisense 20L Digital Microwave 2 Years Warranty,(0),"KSh 9,999"
20 L RAMTONS RM310 MICROWAVE OVEN GRILL,(0),"KSh 13,770"
Syinix 20L Microwave Oven,(0),"KSh 9,999"
MICROWAVE OVEN Smart Pro 20L Digital Microwave Oven,(0),"KSh 10,125"
Syinix 20L Digital 700W Microwave,(0),"KSh 9,999"
Hisense 20L Digital Microwave Oven H20MOMWS11 Black,(0),"KSh 9,990"
Hisense 20L Digital Microwave Oven,(0),"KSh 13,999"
Smart Pro 20L Digital Microwave Oven SMV20LV4 2 Black,(0),"KSh 9,720"
VON VAMS20DGB 20L 700Watts Microwave Oven,(0),"KSh 12,825"
Hisense H20MOBS11 20L Digital Microwave Oven,(0),"KSh 10,999"
HANMAC HMR20MB Knob 20l microwave oven700w,(0),"KSh 8,299"
Nunix Manual Microwave Oven Grill C20UG 20L,(0),"KSh 10,499"
Hisense 20L Digital Microwave Oven H20MOMWS11 White,(0),"KSh 8,699"
SMART PRO DIGITAL MICROWAVE,(0),"KSh 10,549"
of Redberry Microwave Oven model 722 end cook signal indicatorhas defrosting capability20 LTR capacity,(0),"KSh 11,100"
ROCH DIGITAL MICROWAVE,(0),"KSh 10,679"
Mika MMWMSKH2012B Microwave 20L Manual,(0),"KSh 9,999"
20 L HANMAC HMR20E DIGITAL MICROWAVE OVEN,(0),"KSh 9,855"
SYNIX 20 L MICROWAVE OVEN,(0),"KSh 8,505"
Hisense 25L Grill Microwave Oven H25MOMS7HG,(0),"KSh 15,999"
Roch 20Litres Digital Microwave Oven,(0),"KSh 9,399"
NUNIX 20L Analog Microwave C20MX1 White,(0),"KSh 8,880"
Hisense microwave digital 20 ltrs,(0),"KSh 14,549"
Icona ILDMOG4500XBG Microwave oven 45L Digital Setting 1 YEAR WARRANTY,(0),"KSh 16,778"
Mika MMWMSKH2012B Microwave 20L Manual Black,(0),"KSh 10,999"
Hisense 20Litres Digital Microwave,(0),"KSh 16,499"
Ramtons RM550 23 Litres MicrowaveGrill Black 1YR WRTY,(0),"KSh 17,999"
Hisense 20Litres Digital Microwave,(0),"KSh 16,159"
Hanmac Microwave Digital 20L Multistage cooking HMR20EG2,(0),"KSh 11,799"
Roch 20Ltrs Digital Microwave Oven High Microwaves 1 YR Warranty,(0),"KSh 10,979"
Digital microwave,(0),"KSh 10,385"
20 L Syinix Microwave Oven,(0),"KSh 8,505"
Redberry 20L Microwave Oven Grill Function Defrost Function Mechanical or Manual Control Push Button Door Cooking End Signal 700W,(0),"KSh 9,799"
20 litres Roch digital microwave oven,(0),"KSh 10,799"
20 L Syinix Manual Microwave Oven,(0),"KSh 9,135"
